#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 08 11 50 999 10.5 13.2  2.57  9.09  5.71 999  998.9   0.6   2.8 999.0 99.0 99.00
2010 01 08 12 50 999  9.3 10.5  2.66  8.33  5.90 999  998.4   0.8   2.8 999.0 99.0 99.00
2010 01 08 13 50 999 10.2 12.4  2.71  8.33  6.18 999  998.0   1.2   2.8 999.0 99.0 99.00
2010 01 08 14 50 999 11.9 14.9  3.08  8.33  6.30 999  998.0   1.2   2.8 999.0 99.0 99.00
2010 01 08 15 50 999 12.8 14.8  2.62  8.33  5.85 999  997.5   1.4   2.9 999.0 99.0 99.00
2010 01 08 16 50 999 13.3 17.1  3.06  8.33  6.06 999  996.9   1.3   2.9 999.0 99.0 99.00
2010 01 08 17 50 999 14.0 16.6  3.01  9.09  5.91 999  996.7   1.1   2.9 999.0 99.0 99.00
2010 01 08 18 50 999 13.9 17.0  3.04  9.09  5.89 999  996.2   0.8   2.9 999.0 99.0 99.00
2010 01 08 19 50 999 13.2 16.5  3.21  9.09  6.07 999  995.9   0.5   2.9 999.0 99.0 99.00
2010 01 08 20 50 999 12.7 15.4  3.29  9.09  5.99 999  995.6   0.5   2.9 999.0 99.0 99.00
2010 01 08 21 50 999 12.3 14.8  3.34  9.09  6.11 999  995.3   0.1   2.9 999.0 99.0 99.00
2010 01 08 22 50 999 12.1 15.6  3.26 10.00  6.26 999  994.8   0.3   2.8 999.0 99.0 99.00
2010 01 08 23 50 999 11.8 14.3  3.57  9.09  6.51 999  994.6   0.4   2.8 999.0 99.0 99.00
2010 01 09 00 50 999 11.5 14.4  3.17  9.09  6.26 999  994.5   0.3   2.8 999.0 99.0 99.00
2010 01 09 01 50 999 10.1 12.7  3.18  8.33  6.64 999  994.3   0.6   2.8 999.0 99.0 99.00
2010 01 09 02 50 999 11.1 13.0  3.48 10.00  7.14 999  994.5   0.6   2.8 999.0 99.0 99.00
2010 01 09 03 50 999 10.0 12.7  3.49  9.09  6.90 999  994.4   0.8   2.8 999.0 99.0 99.00
2010 01 09 04 50 999 11.0 12.5  3.34 10.00  6.88 999  994.6   0.9   2.8 999.0 99.0 99.00
2010 01 09 05 50 999 11.5 14.0  3.21 10.00  6.57 999  994.4   1.2   2.8 999.0 99.0 99.00
2010 01 09 06 50 999 11.3 13.5  3.01 10.00  6.34 999  994.4   1.0   2.8 999.0 99.0 99.00
2010 01 09 07 50 999 11.8 14.1  3.24 10.00  6.46 999  994.2   1.1   2.8 999.0 99.0 99.00
2010 01 09 08 50 999 12.0 14.6  3.06  9.09  6.31 999  994.3   1.0   2.8 999.0 99.0 99.00
2010 01 09 09 50 999 12.3 14.0  3.05 10.00  6.16 999  994.2   1.4   2.8 999.0 99.0 99.00
2010 01 09 10 50 999 10.9 12.5  3.19 10.00  6.36 999  994.2   1.6   2.8 999.0 99.0 99.00
2010 01 09 11 50 999 11.6 13.9  2.95  9.09  6.17 999  994.4   1.5   2.8 999.0 99.0 99.00
2010 01 09 12 50 999 11.2 13.3  2.87  9.09  6.03 999  994.4   1.7   2.8 999.0 99.0 99.00
2010 01 09 13 50 999 12.1 13.7  2.86  9.09  6.25 999  994.6   1.5   2.8 999.0 99.0 99.00
2010 01 09 14 50 999 11.1 12.8  2.73  9.09  6.07 999  994.8   1.1   2.9 999.0 99.0 99.00
2010 01 09 15 50 999 12.4 14.0  2.94  9.09  6.30 999  994.7   1.6   2.9 999.0 99.0 99.00
2010 01 09 16 50 999 13.0 15.0  3.11  9.09  6.27 999  994.9   1.9   2.9 999.0 99.0 99.00
2010 01 09 17 50 999 13.6 15.4  3.17  9.09  6.27 999  994.9   2.1   2.9 999.0 99.0 99.00
2010 01 09 18 50 999 12.2 14.4  3.10  9.09  6.28 999  995.0   2.1   2.9 999.0 99.0 99.00
2010 01 09 19 50 999 12.7 99.0 99.00 99.00 99.00 999 9999.0   2.2 999.0 999.0 99.0 99.00
2010 01 09 20 50 999 11.4 13.7  3.18  9.09  6.06 999  996.2   2.3   2.9 999.0 99.0 99.00
2010 01 09 21 50 999 12.2 14.3  3.09  9.09  5.90 999  996.9   2.2   2.9 999.0 99.0 99.00
2010 01 09 22 50 999 11.1 13.7  3.09  8.33  6.00 999  997.0   2.2   2.9 999.0 99.0 99.00
2010 01 09 23 50 999 10.7 12.4  2.81  9.09  5.94 999  997.0   2.1   2.9 999.0 99.0 99.00
2010 01 10 00 50 999 11.4 13.1  2.82  9.09  6.03 999  997.3   1.7   2.9 999.0 99.0 99.00
2010 01 10 01 50 999 10.9 12.7  3.03  9.09  6.22 999  997.6   1.3   2.9 999.0 99.0 99.00
2010 01 10 02 50 999 10.2 11.9  2.79  9.09  6.29 999  997.9   1.4   2.9 999.0 99.0 99.00
2010 01 10 03 50 999  9.1 10.8  3.02  9.09  6.68 999  998.1   0.9   2.9 999.0 99.0 99.00
2010 01 10 04 50 999  9.8 11.6  2.38  8.33  6.03 999  998.2   1.1   2.9 999.0 99.0 99.00
2010 01 10 05 50 999  9.4 11.1  2.45  7.69  6.16 999  998.5   0.9   2.9 999.0 99.0 99.00
2010 01 10 06 50 999  9.2 10.5  2.41  8.33  6.01 999  998.4   0.9   2.9 999.0 99.0 99.00
2010 01 10 07 50 999  9.3 10.6  2.29  7.69  5.72 999  998.4   0.7   2.9 999.0 99.0 99.00
2010 01 10 08 50 999  8.5 10.1  2.23  7.69  5.67 999  998.6   0.5   2.9 999.0 99.0 99.00
2010 01 10 09 50 999  8.8 10.3  2.24  7.69  5.52 999  998.5   0.2   2.9 999.0 99.0 99.00
