YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 09 01 999 99.0 99.0  4.06 11.11  7.27 999 1015.6  -1.4   2.4 999.0 99.0
1999 01 09 02 999 99.0 99.0  4.83 11.11  7.75 999 1014.3  -1.5   2.4 999.0 99.0
1999 01 09 03 999 99.0 99.0  4.70 11.11  7.57 999 1013.5  -1.9   2.4 999.0 99.0
1999 01 09 04 999 99.0 99.0 99.00 99.00 99.00 999 1012.8  -2.1   2.4 999.0 99.0
1999 01 09 05 999 99.0 99.0  4.75 11.11  7.25 999 1011.5  -2.1   2.4 999.0 99.0
1999 01 09 06 999 99.0 99.0  4.92 11.11  7.01 999 1010.0  -2.2   2.4 999.0 99.0
1999 01 09 07 999 99.0 99.0  5.21 11.11  7.46 999 1008.7  -2.3   2.4 999.0 99.0
1999 01 09 08 999 99.0 99.0  5.40 11.11  7.71 999 1007.0  -3.1   2.4 999.0 99.0
1999 01 09 09 999 99.0 99.0  5.55 11.11  7.83 999 1005.3  -2.4   2.4 999.0 99.0
1999 01 09 10 999 99.0 99.0  5.89 11.11  8.01 999 1003.7  -2.8   2.4 999.0 99.0
1999 01 09 11 999 99.0 99.0  6.58 12.50  8.55 999 1002.3  -2.8   2.4 999.0 99.0
1999 01 09 12 999 99.0 99.0  6.48 12.50  9.06 999 1001.2  -3.2   2.4 999.0 99.0
1999 01 09 13 999 99.0 99.0  7.09 12.50  9.38 999 1000.2  -3.5   2.4 999.0 99.0
1999 01 09 14 999 99.0 99.0  6.24 12.50  8.96 999  999.4  -4.4   2.4 999.0 99.0
1999 01 09 15 999 99.0 99.0  7.10 12.50  9.52 999  998.2  -3.2   2.4 999.0 99.0
1999 01 09 16 999 99.0 99.0  6.26 12.50  9.03 999  997.1  -3.1   2.4 999.0 99.0
1999 01 09 17 999 99.0 99.0  6.20 12.50  9.16 999  996.6  -3.0   2.4 999.0 99.0
1999 01 09 18 999 99.0 99.0  5.58 12.50  8.64 999  996.0  -2.8   2.4 999.0 99.0
1999 01 09 19 999 99.0 99.0 99.00 99.00 99.00 999  995.5  -2.2   2.4 999.0 99.0
1999 01 09 20 999 99.0 99.0  5.07 12.50  8.47 999  995.0  -1.3   2.4 999.0 99.0
1999 01 09 21 999 99.0 99.0  5.81 12.50  9.42 999  994.7  -1.6   2.3 999.0 99.0
1999 01 09 22 999 99.0 99.0  5.17 12.50  8.66 999  994.2   -.9   2.3 999.0 99.0
1999 01 09 23 999 99.0 99.0  6.14 12.50  9.27 999  994.1   -.6   2.4 999.0 99.0
1999 01 10 00 999 99.0 99.0  5.36 12.50  8.72 999  992.8   -.5   2.4 999.0 99.0
1999 01 10 01 999 99.0 99.0  4.92 12.50  8.88 999  991.9   -.3   2.4 999.0 99.0
1999 01 10 02 999 99.0 99.0  4.86 12.50  8.83 999  991.0   -.4   2.5 999.0 99.0
1999 01 10 03 999 99.0 99.0  5.19 12.50  8.94 999  990.8    .3   2.5 999.0 99.0
1999 01 10 04 999 99.0 99.0  4.63 12.50  8.52 999  990.4    .6   2.4 999.0 99.0
1999 01 10 05 999 99.0 99.0  4.52 12.50  8.18 999  989.9    .5   2.4 999.0 99.0
1999 01 10 06 999 99.0 99.0 99.00 99.00 99.00 999  989.6    .5   2.4 999.0 99.0
1999 01 10 07 999 99.0 99.0  4.99 12.50  8.44 999  989.2   -.2   2.5 999.0 99.0
1999 01 10 08 999 99.0 99.0  4.97 11.11  8.28 999  988.2    .0   2.5 999.0 99.0
1999 01 10 09 999 99.0 99.0  4.73 12.50  7.82 999  987.7    .5   2.6 999.0 99.0
1999 01 10 10 999 99.0 99.0  4.47 11.11  7.89 999  987.4    .6   2.6 999.0 99.0
1999 01 10 11 999 99.0 99.0  4.54 11.11  8.07 999  987.0    .1   2.6 999.0 99.0
1999 01 10 12 999 99.0 99.0  4.54 11.11  8.26 999  986.2    .3   2.6 999.0 99.0
1999 01 10 13 999 99.0 99.0  4.42 11.11  8.42 999  985.9    .6   2.6 999.0 99.0
1999 01 10 14 999 99.0 99.0  4.09 11.11  7.97 999  985.1    .3   2.6 999.0 99.0
1999 01 10 15 999 99.0 99.0  3.97 11.11  7.92 999  984.5    .0   2.6 999.0 99.0
1999 01 10 16 999 99.0 99.0  4.19 11.11  7.95 999  983.7    .5   2.6 999.0 99.0
1999 01 10 17 999 99.0 99.0  3.54 11.11  6.91 999  983.6   -.2   2.6 999.0 99.0
1999 01 10 18 999 99.0 99.0  3.87 10.00  7.33 999  983.2    .0   2.6 999.0 99.0
1999 01 10 19 999 99.0 99.0  3.49 11.11  7.00 999  982.9   -.2   2.6 999.0 99.0
1999 01 10 20 999 99.0 99.0  3.90 11.11  7.51 999  982.5    .0   2.6 999.0 99.0
1999 01 10 21 999 99.0 99.0  3.37 11.11  6.86 999  982.3    .4   2.6 999.0 99.0
1999 01 10 22 999 99.0 99.0  3.46 11.11  6.88 999  981.5    .3   2.7 999.0 99.0
1999 01 10 23 999 99.0 99.0  3.36 10.00  6.50 999  981.4    .3   2.7 999.0 99.0
