YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 07 03 00 152 12.5 14.9  4.82 13.79  8.08 999 1030.6   3.4   2.9   2.2 99.0 99.00
2005 01 07 04 00 151 13.1 15.7  4.57 12.90  8.00 999 1030.4   3.5   2.9   2.3 99.0 99.00
2005 01 07 05 00 143 13.2 16.4  4.56 12.90  7.95 999 1030.6   3.4   2.9   2.5 99.0 99.00
2005 01 07 06 00 155 13.0 15.2  4.94  9.09  8.23 999 1030.7   3.6   2.9   2.3 99.0 99.00
2005 01 07 07 00 163 12.0 14.1  4.49 12.90  7.90 999 1031.1   3.6   2.9   2.4 99.0 99.00
2005 01 07 08 00 161 11.9 14.1  4.78 10.81  7.99 999 1031.4   3.6   2.9   2.3 99.0 99.00
2005 01 07 09 00 162 12.3 14.8  4.76 10.00  7.89 999 1031.4   3.7   2.9   2.3 99.0 99.00
2005 01 07 10 00 151 11.6 13.7  4.40 10.00  7.95 999 1031.9   3.4   2.9   2.6 99.0 99.00
2005 01 07 11 00 157 11.8 13.5  4.77 13.79  8.02 999 1032.0   3.3   2.9   2.7 99.0 99.00
2005 01 07 12 00 157 12.1 14.8  4.42 13.79  8.13 999 1032.0   3.2   2.9   2.4 99.0 99.00
2005 01 07 13 00 157 10.8 13.1  4.14 13.79  7.98 999 1031.4   3.2   2.9   2.2 99.0 99.00
2005 01 07 14 00 149  8.8 10.2  4.24 13.79  8.29 999 1031.0   3.1   2.9   2.4 99.0 99.00
2005 01 07 15 00 154  8.4 10.3  3.87 13.79  8.55 999 1030.9   3.1   2.9   2.7 99.0 99.00
2005 01 07 16 00 150  8.8 10.2  3.78 14.81  8.18 999 1030.6   3.2   2.9   2.8 99.0 99.00
2005 01 07 17 00 143  7.8  9.4  3.78 14.81  8.39 999 1030.5   3.2   2.9   2.8 99.0 99.00
2005 01 07 18 00 147  7.7  9.3  3.72 10.00  8.38 999 1030.5   3.1   2.9   2.8 99.0 99.00
2005 01 07 19 00 151  9.1 10.5  3.56 10.00  7.79 999 1030.7   3.1   2.9   2.7 99.0 99.00
2005 01 07 20 00 140  9.2 11.2  3.38 14.81  7.69 999 1029.9   3.0   2.9   2.6 99.0 99.00
2005 01 07 21 00 138  9.4 10.7  3.23  9.09  7.49 999 1030.5   3.0   2.9   2.7 99.0 99.00
2005 01 07 22 00 148  9.5 11.0  3.29 13.79  7.61 999 1030.5   3.0   2.9   2.5 99.0 99.00
2005 01 07 23 00 144  9.1 10.4  2.99 13.79  7.10 999 1030.2   2.9   2.9   2.5 99.0 99.00
2005 01 08 00 00 142  9.0 10.8  3.08  9.09  7.10 999 1029.5   2.8   2.9   2.4 99.0 99.00
2005 01 08 01 00 150  8.5  9.8  3.10 12.90  7.38 999 1028.9   2.8   2.9   2.4 99.0 99.00
2005 01 08 02 00 146  8.6 10.5  3.02 12.12  7.44 999 1028.4   2.8   2.9   2.5 99.0 99.00
2005 01 08 03 00 146  8.1  9.7  2.81 11.43  7.27 999 1028.4   3.0   2.9   2.7 99.0 99.00
2005 01 08 04 00 147  7.4  8.8  2.54 12.12  7.20 999 1028.8   3.0   2.9   2.7 99.0 99.00
2005 01 08 05 00 151  7.4  9.3  2.77 11.43  7.45 999 1028.7   3.0   2.9   2.8 99.0 99.00
2005 01 08 06 00 152  9.4 11.0  2.46 11.43  7.26 999 1028.5   3.1   2.9   2.9 99.0 99.00
2005 01 08 07 00 149  9.2 10.9  2.55  9.09  6.87 999 1028.6   3.0   2.9   2.9 99.0 99.00
2005 01 08 08 00 140  7.4  8.3  2.55  8.33  7.04 999 1028.7   3.0   2.9   2.9 99.0 99.00
2005 01 08 09 00 143  8.7 10.1  2.52  9.09  6.80 999 1028.6   2.9   2.9   2.7 99.0 99.00
2005 01 08 10 00 144  9.0 10.5  2.47 12.12  6.77 999 1028.7   2.8   2.9   2.7 99.0 99.00
2005 01 08 11 00 137  8.6 10.2  2.40  8.33  6.66 999 1028.5   2.7   2.9   2.6 99.0 99.00
2005 01 08 12 00 146  7.6  9.0  2.58 12.90  6.58 999 1028.7   2.8   2.9   2.7 99.0 99.00
2005 01 08 13 00 139  7.5  8.6  2.47 11.43  6.32 999 1028.2   2.8   2.9   2.7 99.0 99.00
2005 01 08 14 00 135  7.1  8.3  2.67 10.00  6.73 999 1027.6   2.7   2.9   2.6 99.0 99.00
2005 01 08 15 00 128  7.7  8.9  2.48 10.81  6.60 999 1027.3   2.4   2.9   2.3 99.0 99.00
2005 01 08 16 00 123  8.1  9.5  2.41  7.69  6.57 999 1027.2   2.0   2.9   1.9 99.0 99.00
2005 01 08 17 00 118  8.3 10.0  2.35 11.43  6.53 999 1026.6   2.3   2.9   2.2 99.0 99.00
2005 01 08 18 00 116  7.8  9.8  2.42 10.00  6.79 999 1026.7   2.4   2.9   2.3 99.0 99.00
2005 01 08 19 00 108  9.0 10.5  2.22 11.43  6.58 999 1026.7   2.4   2.9   2.2 99.0 99.00
2005 01 08 20 00 116  9.2 10.9  2.16 11.43  6.55 999 1026.9   2.2   2.9   1.9 99.0 99.00
2005 01 08 21 00 109  9.0 11.4  2.30 10.81  6.62 999 1027.0   2.3   2.9   1.5 99.0 99.00
2005 01 08 22 00 107 10.3 12.6  2.30  7.69  6.44 999 1027.0   2.2   2.9   1.0 99.0 99.00
2005 01 08 23 00 109 10.6 12.2  2.25 11.43  6.19 999 1026.5   2.4   2.9   1.4 99.0 99.00
2005 01 09 00 00 100 10.6 12.2  2.21 10.81  5.92 999 1025.5   2.1   2.9   1.0 99.0 99.00
2005 01 09 01 00  93 10.1 12.0  2.25 10.00  5.50 999 1024.3   2.1   2.9   0.9 99.0 99.00
2005 01 09 02 00  89 11.3 12.8  2.47 10.00  5.45 999 1023.8   1.9   2.9   0.8 99.0 99.00
2005 01 09 03 00  91 11.5 13.6  2.21 10.81  5.42 999 1023.2   2.0   2.9   0.9 99.0 99.00
2005 01 09 04 00  93 12.4 14.1  2.29  7.69  5.63 999 1023.2   2.2   2.9   1.1 99.0 99.00
2005 01 09 05 00 103 11.8 13.4  2.34  7.69  5.42 999 1023.2   2.2   2.9   1.2 99.0 99.00
2005 01 09 06 00 101 11.6 13.6  2.34  6.25  5.57 999 1022.8   2.2   2.9   1.0 99.0 99.00
2005 01 09 07 00  92 11.7 13.6  2.32  6.25  5.55 999 1022.5   1.9   2.9   1.0 99.0 99.00
2005 01 09 08 00  89 12.4 13.7  2.51  7.14  5.73 999 1021.8   1.6   2.9   0.8 99.0 99.00
2005 01 09 09 00  98 11.6 13.0  2.37  6.25  5.83 999 1021.8   2.1   2.9   0.9 99.0 99.00
2005 01 09 10 00 109 12.5 14.8  2.50  6.67  5.98 999 1021.5   2.5   2.9   1.2 99.0 99.00
2005 01 09 11 00 113 10.8 12.5  2.26  6.67  5.73 999 1021.1   3.0   2.9   1.8 99.0 99.00
2005 01 09 12 00 123 10.5 13.2  2.37  6.67  6.01 999 1020.5   2.8   2.9   1.1 99.0 99.00
2005 01 09 13 00 113  9.9 12.4  2.42  7.14  5.96 999 1020.1   3.0   2.9   1.4 99.0 99.00
2005 01 09 14 00 102 10.3 11.8  2.33  7.14  5.95 999 1019.2   3.0   2.9   1.6 99.0 99.00
2005 01 09 15 00 103 11.3 13.7  2.15  7.69  5.71 999 1018.8   2.9   2.9   1.9 99.0 99.00
2005 01 09 16 00 109 11.8 14.1  2.24  7.14  5.50 999 1018.6   2.9   2.9   2.3 99.0 99.00
2005 01 09 17 00 111 12.3 14.2  2.56  7.14  5.72 999 1018.1   2.9   2.9   2.4 99.0 99.00
2005 01 09 18 00 109 12.5 14.8  2.47  7.69  5.54 999 1017.8   3.0   2.9   2.7 99.0 99.00
2005 01 09 19 00 119 11.4 13.6  2.73  7.14  5.54 999 1018.2   3.2   2.9   2.9 99.0 99.00
2005 01 09 20 00 119 11.9 13.8  2.49  8.33  5.61 999 1018.1   3.3   2.9   3.1 99.0 99.00
2005 01 09 21 00 132 10.7 12.1  2.83  7.69  6.22 999 1018.7   3.4   2.9   3.1 99.0 99.00
2005 01 09 22 00 130 10.3 11.9  2.79  7.69  6.29 999 1019.2   3.4   2.9   3.2 99.0 99.00
