YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 09 14   9 15.6 20.1  5.91 12.90  8.32 999  996.8  -5.0   3.4 -11.8 99.0 99.00
2004 01 09 15   7 14.7 20.0  5.72 10.00  8.42 999  996.4  -5.2   3.4 -12.8 99.0 99.00
2004 01 09 16  11 12.6 16.2  5.74 12.12  8.47 999  995.6  -6.2   3.4 -10.0 99.0 99.00
2004 01 09 17  13 14.7 18.9  5.57 12.12  8.38 999  995.2  -6.0   3.4 -10.5 99.0 99.00
2004 01 09 18 359 15.9 20.0  5.56 12.90  8.61 999  994.8  -7.1   3.3  -9.7 99.0 99.00
2004 01 09 19 353 13.0 16.2  5.87 12.90  8.75 999  993.9  -5.6   3.3 -11.8 99.0 99.00
2004 01 09 20   3 12.4 15.6  5.50 12.90  8.38 999  993.1  -5.9   3.3 -12.6 99.0 99.00
2004 01 09 21 341 12.4 15.3  5.39 13.79  8.54 999  992.6  -6.5   3.3  -8.7 99.0 99.00
2004 01 09 22  13 12.6 15.3  5.36 12.90  8.53 999  992.2  -5.5   3.3 -11.1 99.0 99.00
2004 01 09 23  21 10.0 13.7  5.44 12.90  8.68 999  992.0  -5.7   3.3 -10.8 99.0 99.00
2004 01 10 00  27  6.6  9.1  5.74 12.90  9.03 999  991.2  -5.1   3.3 -12.1 99.0 99.00
2004 01 10 01   7  8.8 11.4  5.68 12.90  9.33 999  990.8  -4.6   3.3  -9.8 99.0 99.00
2004 01 10 02  54  8.0 11.3  5.08 12.12  8.92 999  990.5  -4.5   3.3  -7.4 99.0 99.00
2004 01 10 03  27 10.4 12.2  4.67 12.90  8.70 999  990.6  -4.3   3.3  -7.0 99.0 99.00
2004 01 10 04  43  9.7 11.5  4.91 12.90  8.72 999  990.7  -3.2   3.3  -8.4 99.0 99.00
2004 01 10 05  22  9.9 12.6  4.54 12.12  8.23 999  991.0  -2.9   3.3  -9.6 99.0 99.00
2004 01 10 06   6 10.1 12.3  4.65 12.90  8.28 999  991.4  -3.7   3.3  -7.4 99.0 99.00
2004 01 10 07 353  7.6 10.0  4.24 12.90  8.30 999  991.5  -3.5   3.3  -8.1 99.0 99.00
2004 01 10 08  37  8.8 11.9  4.34 12.90  8.25 999  991.8  -3.4   3.3  -8.2 99.0 99.00
2004 01 10 09  26  6.6  9.1  4.00 12.12  8.02 999  992.1  -4.2   3.3  -6.9 99.0 99.00
2004 01 10 10  47  6.3  9.1  4.11 12.90  8.24 999  992.1  -3.2   3.3  -7.6 99.0 99.00
2004 01 10 11  20  7.4 10.3  3.88 12.12  7.95 999  992.5  -2.6   3.3 999.0 99.0 99.00
2004 01 10 12  18  5.6  7.4  3.85 12.12  8.09 999  993.0  -3.1   3.3  -9.1 99.0 99.00
2004 01 10 13  21  6.9  9.3  4.10 12.12  8.18 999  993.3  -2.9   3.3 -10.8 99.0 99.00
2004 01 10 14  46  4.2  7.2  3.76 12.12  8.08 999  993.8  -3.2   3.3  -9.3 99.0 99.00
2004 01 10 15  30  8.8 12.9  3.77 11.43  8.27 999  994.3  -3.6   3.3  -7.7 99.0 99.00
