"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"203","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:08:43,FALSE,NA,"993205940672385024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","betathaw",131,TRUE,FALSE,NA,NA
"204","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:05:49,FALSE,NA,"993205211236917249",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","arcucufo1972",131,TRUE,FALSE,NA,NA
"205","RT @Tesla_Token: Special bonus for the 3 investors

To invest Check pinned tweet

Retweet
Follow
Comment ETH Add 

#Ethereum #bounty #coach…",FALSE,0,NA,2018-05-06 19:04:40,FALSE,NA,"993204920798007296",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","realcrypto7",42,TRUE,FALSE,NA,NA
"206","RT @LiveJasmin: An extra petite package with more sass and class than you can manage, #DaizyClassyGirl will rock your world!

#livejasmin #…",FALSE,0,NA,2018-05-06 19:02:29,FALSE,NA,"993204372795518977",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FDesmith",4,TRUE,FALSE,NA,NA
"207","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:02:11,FALSE,NA,"993204294693289986",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wagglerkedge",131,TRUE,FALSE,NA,NA
"208","An extra petite package with more sass and class than you can manage, #DaizyClassyGirl will rock your world!… https://t.co/RuuPd68g2b",FALSE,20,NA,2018-05-06 19:00:05,TRUE,NA,"993203767213518848",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","LiveJasmin",4,FALSE,FALSE,NA,NA
"209","Let me guess... today is gardening day. Leave the social media to the punks and pros. #FuckCoachella… https://t.co/CJ5ROyg6PC",FALSE,1,NA,2018-05-06 18:57:31,TRUE,NA,"993203122309910529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikeWallLive",1,FALSE,FALSE,NA,NA
"210","RT @garrettclayton1: <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> When you’re extra at the party. #Coachella <ed><U+00A0><U+00BE><ed><U+00B4><U+0098> https://t.co/W6OtlgWFgd",FALSE,0,NA,2018-05-06 18:56:29,FALSE,NA,"993202859931029505",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChipAndPopcorns",88,TRUE,FALSE,NA,NA
"211","RT @garrettclayton1: #Coachella #DayOne outfit it brought to you by an awesome designer friend of mine, @alijawad, who hand-made some piece…",FALSE,0,NA,2018-05-06 18:56:13,FALSE,NA,"993202793539350528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChipAndPopcorns",61,TRUE,FALSE,NA,NA
"212","RT @IndieWire: “What a night. We opened for Beyonce!! Huuuuuuge thank you to Paul Thomas Anderson for directing our dream show !”

It would…",FALSE,0,NA,2018-05-06 18:54:28,FALSE,NA,"993202352348975104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ofabiosilverio",10,TRUE,FALSE,NA,NA
"213","RT @garrettclayton1: <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>A seriously unreal fun weekend. #Coachella <ed><U+00A0><U+00BC><ed><U+00BE><U+00A1> https://t.co/756wHAKdHI",FALSE,0,NA,2018-05-06 18:54:13,FALSE,NA,"993202288893288448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChipAndPopcorns",36,TRUE,FALSE,NA,NA
"214","RT @BubbloApp: So we brought you pics from the Coachella house, but have you seen the video!?

Take a look at exactly how amazing the #Coac…",FALSE,0,NA,2018-05-06 18:53:12,FALSE,NA,"993202036656095233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AndersBrainsick",2,TRUE,FALSE,NA,NA
"215","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 18:50:45,FALSE,NA,"993201417585295360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cremeodiferous",131,TRUE,FALSE,NA,NA
"216","Nico's Promise Fashion Show!
#neptunes #southflorida #southbeach #vacations #bali #coachella #weekends… https://t.co/6f2IKvyN78",FALSE,0,NA,2018-05-06 18:50:42,TRUE,NA,"993201407388987393",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","neptuneskidsswi",0,FALSE,FALSE,NA,NA
"217","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",FALSE,0,NA,2018-05-06 18:50:02,FALSE,NA,"993201239197351936",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","GreenBenedicta",228,TRUE,FALSE,NA,NA
"218","RT @YoshikiOfficial: Playing #sweetdreams with my dear friend @marilynmanson at @coachella. #coachella #marilynmanson #yoshiki #xjapan @xja…",FALSE,0,NA,2018-05-06 18:49:02,FALSE,NA,"993200985806950400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","naruina175",1579,TRUE,FALSE,NA,NA
