"","screenName","text","retweetCount","favoriteCount","score","absolute_score","lon","lat"
"92","cheese_kelly","I was at this concert and felt totally fine with the crowd. Now seeing this from a different angle later I’m like:… https://t.co/LUF2NDai3T",0,0,2,2,-122.3320708,47.6062095
"93","chiefnadir","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"94","Chilhon2016Lap","RT @emiliaares: I’m here for the music ... and the chance to dress up like a bikini clad horseback-riding cowgirl selling Girl Scout cookie…",2,0,1,1,-76.6412712,39.0457549
"95","Chinnodu1194","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,79.4191795,13.6287557
"96","Chitti38656930","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,NA,NA
"97","clairethestar84","RT @SidewalkHustle: That Fenty glow <U+26A1><U+FE0F> 

#Coachella2018 #Puma #Fenty #Sneakers 

https://t.co/CcULpcWmeD https://t.co/BXzX4i1Oyl",16,0,1,1,-4.703579,51.672738
"98","cleftparka","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"99","cmanikandan7654","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,NA,NA
"100","cocketroll","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"101","codepenroad","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"102","conovaan","RT @BeyHiveIVParis: Hi #beyhive World : Now available on you YouTube Channel The huge show by our Queen #Beyonce at #Coachella2018  weekend…",5,0,1,1,28.2292712,-25.7478676
"103","conssylite1985","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"104","coptaunt","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"105","Cosne_Trafav","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,170.399612,69.692947
"106","cremeodiferous","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
