"","screenName","text","retweetCount","favoriteCount","score","absolute_score","lon","lat"
"82","bound138","RT @HiltonEmpresses: .@ParisHilton &amp; #CariLeeSladek at #Coachella Day 1 in Indio in 2016 <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BD><ed><U+00B1><U+00AF><U+200D><U+2640><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> https://t.co/fTZCBNkQUB",7,0,0,0,2.4740337,48.7931426
"83","boyckelospoi191","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,105.318756,61.52401
"84","c_laymane","RT @HuffPost: Videos of Snoop, Dre, Eminem & TUPAC at the final set of #Coachella http://t.co/iUqiaKRe",114,0,0,0,NA,NA
"85","cameadow","Things to do in the #Coachella Valley https://t.co/xKfFPoziRq",0,0,0,0,-119.4179324,36.778261
"86","Carlitosguey86","RT @BeyLegion: .@rihanna watching Beyoncé perform at #Beychella. #Coachella<ed><U+00A0><U+00BD><ed><U+00B2><U+0097> https://t.co/UiDeYdEs0b",3936,0,0,0,-96.7969879,32.7766642
"87","Carmelliittaa","RT @hopevjones: Justin Bieber leading worship at #COACHELLA!!!!!!!!! God CAN and WILL use ANYONE!! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+2764><U+FE0F> https://t.co/CLOetpIMPK",668,0,1,1,NA,NA
"88","catchinsulin","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"89","CationFifi","RT @musicnewsfact: Destiny's Child officially makes history as they are now the FIRST girl-group to perform at #Coachella ever since the fe…",4699,0,0,0,NA,NA
"90","CationFifi","RT @Balmain: #BEYCHELLA, @Beyonce &amp; her dancers and musicians wear custom-made #Balmain looks at #Coachella. 
#BALMAINARMY https://t.co/GxF…",2749,0,0,0,NA,NA
"91","CENSORMUSICK","RT @YoshikiOfficial: Before your #sweetdreams ..
@coachella w/ @marilynmanson !
#coachella #marilynmanson #yoshiki #xjapan @xjapanofficial…",1679,0,0,0,-95.712891,37.09024
"92","CFBGPod","RT @venturewithsky: I could visit The Baths a million times and I kid you not, I will take this photo a million times <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> ————-
•
•
•
•
• #b…",2,0,0,0,-84.3640829,33.7589188
"93","CFBGPod","RT @venturewithsky: Floating into the weekend like  a boss <ed><U+00A0><U+00BD><ed><U+00B9><U+0083> <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> ———
-
-
-
-
-
-
- #britishvirginislands #bvi #caribbean #carefreeblackgirl…",2,0,1,1,-84.3640829,33.7589188
"94","chartoccultatio","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"95","chatonlinegirl","RT @PokoraFRANCE: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> Coachella Day 3 <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>
#coachella #coachella2018 #friends #family https://t.co/3KA8x3f7vQ",55,0,0,0,-95.712891,37.09024
"96","chiefnadir","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"97","ChipAndPopcorns","RT @garrettclayton1: <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>A seriously unreal fun weekend. #Coachella <ed><U+00A0><U+00BC><ed><U+00BE><U+00A1> https://t.co/756wHAKdHI",36,0,2,2,NA,NA
"98","ChipAndPopcorns","RT @garrettclayton1: #Coachella #DayOne outfit it brought to you by an awesome designer friend of mine, @alijawad, who hand-made some piece…",61,0,1,1,NA,NA
"99","ChipAndPopcorns","RT @garrettclayton1: <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> When you’re extra at the party. #Coachella <ed><U+00A0><U+00BE><ed><U+00B4><U+0098> https://t.co/W6OtlgWFgd",88,0,0,0,NA,NA
"100","chipkwa01","RT @HiltonEmpresses: .@ParisHilton at #Coachella Day 1 in Indio in 2016 <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B1><U+00B8><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> https://t.co/FGyT1lY9Be",8,0,0,0,-84.109083,33.3459495
"101","christaandram","RT @DailyMigueI: Miguel performed “Caramelo Duro” and brought out @KALIUCHIS to perform her unreleased verse #Coachella https://t.co/aO7JWP…",5470,0,0,0,-85.564463,44.8075006
"102","chuuyaks","RT @MrJeromeTrammel: So am I the only one who noticed when @Beyonce went to change outfits she changed her damn nail polish? We don’t deser…",19076,0,-1,1,-151.2466043,60.5195387
"103","CivilEats","RT @RLMProvisions: Great story about one of the amazing #date farms in the #Coachella Valley. Learn more about the Bautista family and thei…",4,0,2,2,-95.712891,37.09024
"104","cleftparka","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"105","clubfaithinfo","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,130.4017155,33.5903547
"106","cobrawb_","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",21415,0,0,0,NA,NA
"107","cocketroll","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"108","cocoa_key","RT @Vegas2LAMag: #Coachella sunshine weekend &amp; fashion <ed><U+00A0><U+00BC><ed><U+00BE><U+00A1><ed><U+00A0><U+00BE><ed><U+00B5><U+0082><ed><U+00A0><U+00BC><ed><U+00BC><U+009F><ed><U+00A0><U+00BE><ed><U+00B4><U+00A9> @neghinadina has got it all in one place https://t.co/EoV3nyIGtS",33,0,0,0,NA,NA
"109","codepenroad","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"110","conovaan","RT @beyonceaccessbr: Hold Up/Countdown!
#Coachella #Beychella https://t.co/lWuYuNZNBZ",29,0,0,0,28.2292712,-25.7478676
"111","conssylite1985","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"112","Cookiefraud","RT @Coachella_18: Jade Thirlwall #Coachella https://t.co/I7KyquolDP",280,0,0,0,-71.8966946,45.399212
"113","Cookiefraud","RT @RitaOra: #Coachella Main Stage. 8.45. https://t.co/f8kWVTzVln",1673,0,0,0,-71.8966946,45.399212
"114","coptaunt","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"115","Cosne_Trafav","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,170.399612,69.692947
"116","cravee_mylaa","RT @mothabey: “wait, is that bubbalicious gum?”
“no”
“nile later’s?”
“yeah, you want one?”
“yes”
ICONIC!!!! LEGENDARY!!!! ALL OF THE ABOVE!…",33202,0,1,1,NA,NA
